Landtagswahl JJJJ; Wahldatum: JJJJ-MM-TT; Stand: 03.07.2023 13:15:10
Gebietsschlüssel;Gebietsbezeichnung;Gebietstyp;Wahlbezirksnummer;Wahllokal;Wahlberechtigte;Wahlberechtigte ohne Sperrvermerk;Wahlberechtigte mit Sperrvermerk;Wahlberechtigte nach §12a(2) LWO;Wählerinnen und Wähler;Wählerinnen und Wähler mit Wahlschein;Wahlbeteiligung;Berechungsmethode;ungültige Wahlkreisstimmen;gültige Wahlkreisstimmen;ungültige Wahlkreisstimmen (%);gültige Wahlkreisstimmen (%);CDU Wahlkreisstimmen;SPD Wahlkreisstimmen;GRÜNE Wahlkreisstimmen;DIE LINKE Wahlkreisstimmen;FDP Wahlkreisstimmen;AfD Wahlkreisstimmen;PIRATEN Wahlkreisstimmen;FREIE WÄHLER Wahlkreisstimmen;NPD Wahlkreisstimmen;Die PARTEI Wahlkreisstimmen;ÖDP Wahlkreisstimmen;Graue Panther Wahlkreisstimmen;BüSo Wahlkreisstimmen;AD-Demokraten Wahlkreisstimmen;Bündnis C Wahlkreisstimmen;BGE Wahlkreisstimmen;DIE VIOLETTEN Wahlkreisstimmen;LKR Wahlkreisstimmen;MENSCHLICHE WELT Wahlkreisstimmen;Die Humanisten Wahlkreisstimmen;Gesundheitsforschung Wahlkreisstimmen;Tierschutzpartei Wahlkreisstimmen;V-Partei³ Wahlkreisstimmen;APPD (WK 13) Wahlkreisstimmen;DiB (WK 3) Wahlkreisstimmen;NEV (WK 44) Wahlkreisstimmen;ÖkoLinX He (WK 22) Wahlkreisstimmen;CDU Wahlkreisstimmen (%);SPD Wahlkreisstimmen (%);GRÜNE Wahlkreisstimmen (%);DIE LINKE Wahlkreisstimmen (%);FDP Wahlkreisstimmen (%);AfD Wahlkreisstimmen (%);PIRATEN Wahlkreisstimmen (%);FREIE WÄHLER Wahlkreisstimmen (%);NPD Wahlkreisstimmen (%);Die PARTEI Wahlkreisstimmen (%);ÖDP Wahlkreisstimmen (%);Graue Panther Wahlkreisstimmen (%);BüSo Wahlkreisstimmen (%);AD-Demokraten Wahlkreisstimmen (%);Bündnis C Wahlkreisstimmen (%);BGE Wahlkreisstimmen (%);DIE VIOLETTEN Wahlkreisstimmen (%);LKR Wahlkreisstimmen (%);MENSCHLICHE WELT Wahlkreisstimmen (%);Die Humanisten Wahlkreisstimmen (%);Gesundheitsforschung Wahlkreisstimmen (%);Tierschutzpartei Wahlkreisstimmen (%);V-Partei³ Wahlkreisstimmen (%);APPD (WK 13) Wahlkreisstimmen (%);DiB (WK 3) Wahlkreisstimmen (%);NEV (WK 44) Wahlkreisstimmen (%);ÖkoLinX He (WK 22) Wahlkreisstimmen (%);ungültige Landesstimmen;gültige Landesstimmen;ungültige Landesstimmen (%);gültige Landesstimmen (%);CDU Landesstimmen;SPD Landesstimmen;GRÜNE Landesstimmen;DIE LINKE Landesstimmen;FDP Landesstimmen;AfD Landesstimmen;PIRATEN Landesstimmen;FREIE WÄHLER Landesstimmen;NPD Landesstimmen;Die PARTEI Landesstimmen;ÖDP Landesstimmen;Graue Panther Landesstimmen;BüSo Landesstimmen;AD-Demokraten Landesstimmen;Bündnis C Landesstimmen;BGE Landesstimmen;DIE VIOLETTEN Landesstimmen;LKR Landesstimmen;MENSCHLICHE WELT Landesstimmen;Die Humanisten Landesstimmen;Gesundheitsforschung Landesstimmen;Tierschutzpartei Landesstimmen;V-Partei³ Landesstimmen;APPD (WK 13) Landesstimmen;DiB (WK 3) Landesstimmen;NEV (WK 44) Landesstimmen;ÖkoLinX He (WK 22) Landesstimmen;CDU Landesstimmen (%);SPD Landesstimmen (%);GRÜNE Landesstimmen (%);DIE LINKE Landesstimmen (%);FDP Landesstimmen (%);AfD Landesstimmen (%);PIRATEN Landesstimmen (%);FREIE WÄHLER Landesstimmen (%);NPD Landesstimmen (%);Die PARTEI Landesstimmen (%);ÖDP Landesstimmen (%);Graue Panther Landesstimmen (%);BüSo Landesstimmen (%);AD-Demokraten Landesstimmen (%);Bündnis C Landesstimmen (%);BGE Landesstimmen (%);DIE VIOLETTEN Landesstimmen (%);LKR Landesstimmen (%);MENSCHLICHE WELT Landesstimmen (%);Die Humanisten Landesstimmen (%);Gesundheitsforschung Landesstimmen (%);Tierschutzpartei Landesstimmen (%);V-Partei³ Landesstimmen (%);APPD (WK 13) Landesstimmen (%);DiB (WK 3) Landesstimmen (%);NEV (WK 44) Landesstimmen (%);ÖkoLinX He (WK 22) Landesstimmen (%);Wahlkreis gewonnen: Name;Wahlkreis gewonnen: Vorname;Wahlkreis gewonnen: Titel;Wahlkreis gewonnen: Wahlvorschlag;Anzahl Wahlbezirke;Anzahl Wahlbezirke ausgezählt;Letzte Änderung;freigegeben;Nummer aufnehmender Wahlbezirk;Name aufnehmender Wahlbezirk;Aufnahme Wahlbezirk
02500000000;"Wetterau I";"WK";;"";80537;64435;16102;0;57511;15176;71,4;2;1257;56254;2,2;97,8;17076;11455;11851;2377;4475;6039;;2272;;709;;;;;;;;;;;;;;;;;;30,4;20,4;21,1;4,2;8,0;10,7;;4,0;;1,3;;;;;;;;;;;;;;;;;;1075;56436;1,9;98,1;16481;9702;12838;2935;4279;6460;165;1812;139;406;110;89;7;62;46;43;34;23;31;47;58;573;96;;;;;29,2;17,2;22,7;5,2;7,6;11,4;0,3;3,2;0,2;0,7;0,2;0,2;0,0;0,1;0,1;0,1;0,1;0,0;0,1;0,1;0,1;1,0;0,2;;;;;"Utter";"Tobias";"";"CDU";92;92;2022-10-04 10:35:19;1;;"";
02600000000;"Wetterau II";"WK";;"";72965;61546;11419;0;47488;10738;65,1;2;1280;46208;2,7;97,3;13578;10510;6331;1933;2987;8073;;2796;;;;;;;;;;;;;;;;;;;;29,4;22,7;13,7;4,2;6,5;17,5;;6,1;;;;;;;;;;;;;;;;;;;;1189;46299;2,5;97,5;12161;9498;6944;2104;3121;8063;155;2056;681;295;143;74;5;26;40;42;51;25;18;28;78;634;57;;;;;26,3;20,5;15,0;4,5;6,7;17,4;0,3;4,4;1,5;0,6;0,3;0,2;0,0;0,1;0,1;0,1;0,1;0,1;0,0;0,1;0,2;1,4;0,1;;;;;"Puttrich";"Lucia";"";"CDU";112;112;2022-10-04 10:35:19;1;;"";
02700000000;"Wetterau III";"WK";;"";70745;57126;13619;0;48194;12801;68,1;2;1246;46948;2,6;97,4;14672;10524;7671;2013;3523;6084;;2461;;;;;;;;;;;;;;;;;;;;31,3;22,4;16,3;4,3;7,5;13,0;;5,2;;;;;;;;;;;;;;;;;;;;1082;47112;2,2;97,8;13673;9019;8862;2234;3606;6204;151;1917;190;258;113;65;13;35;44;52;33;21;20;36;70;440;56;;;;;29,0;19,1;18,8;4,7;7,7;13,2;0,3;4,1;0,4;0,5;0,2;0,1;0,0;0,1;0,1;0,1;0,1;0,0;0,0;0,1;0,1;0,9;0,1;;;;;"Kartmann";"Norbert";"";"CDU";82;82;2022-10-04 10:35:19;1;;"";
02800000000;"Rheingau-Taunus I";"WK";;"";65564;51496;14068;0;46585;13135;71,1;2;1206;45379;2,6;97,4;15772;10058;8005;2040;3849;5655;;;;;;;;;;;;;;;;;;;;;;34,8;22,2;17,6;4,5;8,5;12,5;;;;;;;;;;;;;;;;;;;;;;972;45613;2,1;97,9;14349;7802;9391;2106;3768;5769;140;1012;52;288;99;72;11;20;35;44;27;29;25;37;52;447;38;;;;;31,5;17,1;20,6;4,6;8,3;12,6;0,3;2,2;0,1;0,6;0,2;0,2;0,0;0,0;0,1;0,1;0,1;0,1;0,1;0,1;0,1;1,0;0,1;;;;;"Müller-Klepper";"Petra";"";"CDU";105;105;2022-10-04 10:35:19;1;;"";
02900000000;"Rheingau-Taunus II";"WK";;"";72079;56561;15518;0;52804;14532;73,3;2;1124;51680;2,1;97,9;18000;10250;9931;2618;4403;6478;;;;;;;;;;;;;;;;;;;;;;34,8;19,8;19,2;5,1;8,5;12,5;;;;;;;;;;;;;;;;;;;;;;901;51903;1,7;98,3;15053;8822;10622;2791;4676;6837;148;1401;54;307;101;76;4;35;68;43;36;28;38;74;46;566;77;;;;;29,0;17,0;20,5;5,4;9,0;13,2;0,3;2,7;0,1;0,6;0,2;0,1;0,0;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;1,1;0,1;;;;;"Beuth";"Peter";"";"CDU";100;100;2022-10-04 10:35:19;1;;"";
03000000000;"Wiesbaden I";"WK";;"";99055;80412;18643;0;64027;17334;64,6;2;1172;62855;1,8;98,2;16717;12634;14175;5309;4936;6909;;1250;;786;;;;;;;;139;;;;;;;;;;26,6;20,1;22,6;8,4;7,9;11,0;;2,0;;1,3;;;;;;;;0,2;;;;;;;;;;994;63033;1,6;98,4;14802;10613;15711;5799;5575;7312;244;1094;65;424;185;97;21;38;70;81;40;106;40;73;43;515;85;;;;;23,5;16,8;24,9;9,2;8,8;11,6;0,4;1,7;0,1;0,7;0,3;0,2;0,0;0,1;0,1;0,1;0,1;0,2;0,1;0,1;0,1;0,8;0,1;;;;;"Wallmann";"Astrid";"";"CDU";134;134;2022-10-04 10:35:19;1;;"";
03100000000;"Wiesbaden II";"WK";;"";86996;71287;15709;0;57411;14662;66,0;2;1287;56124;2,2;97,8;16956;12479;10447;3219;4381;7101;;1541;;;;;;;;;;;;;;;;;;;;30,2;22,2;18,6;5,7;7,8;12,7;;2,7;;;;;;;;;;;;;;;;;;;;1099;56312;1,9;98,1;15680;10509;11540;3373;4904;7289;211;1254;86;294;149;110;18;56;56;63;51;40;39;43;55;424;68;;;;;27,8;18,7;20,5;6,0;8,7;12,9;0,4;2,2;0,2;0,5;0,3;0,2;0,0;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,8;0,1;;;;;"Lorz";"Alexander";"Prof. Dr.";"CDU";126;126;2022-10-04 10:35:19;1;;"";
03200000000;"Main-Taunus I";"WK";;"";81290;63312;17977;1;59790;16782;73,6;2;1095;58695;1,8;98,2;20765;10968;11414;2252;5072;6141;;2083;;;;;;;;;;;;;;;;;;;;35,4;18,7;19,4;3,8;8,6;10,5;;3,5;;;;;;;;;;;;;;;;;;;;933;58857;1,6;98,4;18678;8530;13352;2574;5966;6631;194;1558;53;262;102;99;3;24;36;39;67;32;29;42;46;474;66;;;;;31,7;14,5;22,7;4,4;10,1;11,3;0,3;2,6;0,1;0,4;0,2;0,2;0,0;0,0;0,1;0,1;0,1;0,1;0,0;0,1;0,1;0,8;0,1;;;;;"Heinz";"Christian";"";"CDU";97;97;2022-10-04 10:35:19;1;;"";
03300000000;"Main-Taunus II";"WK";;"";83170;66757;16413;0;59290;15417;71,3;2;1160;58130;2,0;98,0;19520;12178;10830;2831;4100;6469;;2202;;;;;;;;;;;;;;;;;;;;33,6;20,9;18,6;4,9;7,1;11,1;;3,8;;;;;;;;;;;;;;;;;;;;1033;58257;1,7;98,3;17384;9434;12716;3176;4872;6949;184;1811;120;303;163;123;12;40;37;86;41;32;23;45;75;560;71;;;;;29,8;16,2;21,8;5,5;8,4;11,9;0,3;3,1;0,2;0,5;0,3;0,2;0,0;0,1;0,1;0,1;0,1;0,1;0,0;0,1;0,1;1,0;0,1;;;;;"Wintermeyer";"Axel";"";"CDU";102;102;2022-10-04 10:35:19;1;;"";
03400000000;"Frankfurt am Main I";"WK";;"";61266;53350;7916;0;33679;7182;55,0;2;828;32851;2,5;97,5;8894;7675;5982;2551;1758;4360;;1046;;585;;;;;;;;;;;;;;;;;;27,1;23,4;18,2;7,8;5,4;13,3;;3,2;;1,8;;;;;;;;;;;;;;;;;;799;32880;2,4;97,6;7900;6780;6500;2951;1946;4570;148;769;62;296;93;133;6;94;42;32;45;11;23;36;49;371;23;;;;;24,0;20,6;19,8;9,0;5,9;13,9;0,5;2,3;0,2;0,9;0,3;0,4;0,0;0,3;0,1;0,1;0,1;0,0;0,1;0,1;0,1;1,1;0,1;;;;;"Serke";"Uwe";"";"CDU";66;66;2022-10-04 10:35:19;1;;"";
03500000000;"Frankfurt am Main II";"WK";;"";65195;53971;11224;0;41809;10450;64,1;2;767;41042;1,8;98,2;8722;8838;9974;5801;2920;3328;;839;;620;;;;;;;;;;;;;;;;;;21,3;21,5;24,3;14,1;7,1;8,1;;2,0;;1,5;;;;;;;;;;;;;;;;;;642;41167;1,5;98,5;8427;8048;10683;5131;3013;3556;188;722;50;392;106;104;5;40;33;52;25;7;32;64;38;382;69;;;;;20,5;19,5;26,0;12,5;7,3;8,6;0,5;1,8;0,1;1,0;0,3;0,3;0,0;0,1;0,1;0,1;0,1;0,0;0,1;0,2;0,1;0,9;0,2;;;;;"Dahlke";"Miriam";"";"GRÜNE";75;75;2022-10-04 10:35:19;1;;"";
03600000000;"Frankfurt am Main III";"WK";;"";76270;60312;15958;0;49826;14886;65,3;2;728;49098;1,5;98,5;13412;10363;11696;3918;4306;3741;;934;;654;;;;;;;;;74;;;;;;;;;27,3;21,1;23,8;8,0;8,8;7,6;;1,9;;1,3;;;;;;;;;0,2;;;;;;;;;595;49231;1,2;98,8;11949;8163;12920;4823;5240;3907;190;687;39;437;103;75;9;27;37;57;25;26;36;63;34;294;90;;;;;24,3;16,6;26,2;9,8;10,6;7,9;0,4;1,4;0,1;0,9;0,2;0,2;0,0;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,6;0,2;;;;;"Bartelt";"Ralph-Norbert";"Dr.";"CDU";95;95;2022-10-04 10:35:19;1;;"";
03700000000;"Frankfurt am Main IV";"WK";;"";64818;50948;13870;0;42459;12885;65,5;2;681;41778;1,6;98,4;11163;8427;10829;3337;2865;3505;;1103;;549;;;;;;;;;;;;;;;;;;26,7;20,2;25,9;8,0;6,9;8,4;;2,6;;1,3;;;;;;;;;;;;;;;;;;617;41842;1,5;98,5;10311;7367;10905;3783;3725;3719;157;736;44;318;100;74;3;28;28;45;25;18;32;53;30;284;57;;;;;24,6;17,6;26,1;9,0;8,9;8,9;0,4;1,8;0,1;0,8;0,2;0,2;0,0;0,1;0,1;0,1;0,1;0,0;0,1;0,1;0,1;0,7;0,1;;;;;"Boddenberg";"Michael";"";"CDU";76;76;2022-10-04 10:35:19;1;;"";
03800000000;"Frankfurt am Main V";"WK";;"";71055;55979;15076;0;51389;14069;72,3;2;719;50670;1,4;98,6;9997;10221;17852;5627;3145;2754;353;;;721;;;;;;;;;;;;;;;;;;19,7;20,2;35,2;11,1;6,2;5,4;0,7;;;1,4;;;;;;;;;;;;;;;;;;561;50828;1,1;98,9;9582;9092;16592;6787;3733;2896;191;600;18;455;91;59;12;18;22;83;34;21;32;76;27;329;78;;;;;18,9;17,9;32,6;13,4;7,3;5,7;0,4;1,2;0,0;0,9;0,2;0,1;0,0;0,0;0,0;0,2;0,1;0,0;0,1;0,1;0,1;0,6;0,2;;;;;"Bocklet";"Marcus";"";"GRÜNE";86;86;2022-10-04 10:35:19;1;;"";
03900000000;"Frankfurt am Main VI";"WK";;"";80099;67103;12996;0;51651;12084;64,5;2;1062;50589;2,1;97,9;14293;11135;10719;3889;3452;4878;;1409;;669;;;;;;;;;;;;;145;;;;;28,3;22,0;21,2;7,7;6,8;9,6;;2,8;;1,3;;;;;;;;;;;;;0,3;;;;;876;50775;1,7;98,3;12766;9732;11785;4323;3922;5346;211;1051;65;351;115;119;7;55;62;48;33;26;23;70;56;500;109;;;;;25,1;19,2;23,2;8,5;7,7;10,5;0,4;2,1;0,1;0,7;0,2;0,2;0,0;0,1;0,1;0,1;0,1;0,1;0,0;0,1;0,1;1,0;0,2;;;;;"Rhein";"Boris";"";"CDU";92;92;2022-10-04 10:35:19;1;;"";
04000000000;"Main-Kinzig I";"WK";;"";97654;80212;17442;0;69734;16431;71,4;2;1774;67960;2,5;97,5;18419;17497;10829;2885;4248;10471;;2980;;;631;;;;;;;;;;;;;;;;;27,1;25,7;15,9;4,2;6,3;15,4;;4,4;;;0,9;;;;;;;;;;;;;;;;;1510;68224;2,2;97,8;18353;13648;12283;3200;4756;10674;229;2345;255;437;330;146;12;33;53;69;50;30;38;49;114;1039;81;;;;;26,9;20,0;18,0;4,7;7,0;15,6;0,3;3,4;0,4;0,6;0,5;0,2;0,0;0,0;0,1;0,1;0,1;0,0;0,1;0,1;0,2;1,5;0,1;;;;;"Schad";"Max";"";"CDU";112;112;2022-10-04 10:35:19;1;;"";
04100000000;"Main-Kinzig II";"WK";;"";101270;86560;14710;0;62840;13686;62,1;2;1611;61229;2,6;97,4;16938;13462;10245;3358;4624;9641;;2110;;851;;;;;;;;;;;;;;;;;;27,7;22,0;16,7;5,5;7,6;15,7;;3,4;;1,4;;;;;;;;;;;;;;;;;;1418;61422;2,3;97,7;15292;11721;11842;3600;4625;9703;234;1689;167;510;215;137;15;261;72;66;67;25;38;64;92;889;98;;;;;24,9;19,1;19,3;5,9;7,5;15,8;0,4;2,7;0,3;0,8;0,4;0,2;0,0;0,4;0,1;0,1;0,1;0,0;0,1;0,1;0,1;1,4;0,2;;;;;"Kasseckert";"Heiko";"";"CDU";144;144;2022-10-04 10:35:19;1;;"";
04200000000;"Main-Kinzig III";"WK";;"";98858;81057;17801;0;67075;16772;67,8;2;1877;65198;2,8;97,2;18795;14071;10154;2820;4162;11129;;3483;;;584;;;;;;;;;;;;;;;;;28,8;21,6;15,6;4,3;6,4;17,1;;5,3;;;0,9;;;;;;;;;;;;;;;;;1533;65542;2,3;97,7;18184;12206;10641;3061;4413;11602;218;2738;244;463;318;118;9;33;86;89;69;23;46;42;122;726;91;;;;;27,7;18,6;16,2;4,7;6,7;17,7;0,3;4,2;0,4;0,7;0,5;0,2;0,0;0,1;0,1;0,1;0,1;0,0;0,1;0,1;0,2;1,1;0,1;;;;;"Reul";"Michael";"";"CDU";155;155;2022-10-04 10:35:19;1;;"";
04300000000;"Offenbach-Stadt";"WK";;"";66776;57179;9597;0;39018;9076;58,4;2;832;38186;2,1;97,9;8597;7159;10507;3170;2197;4871;481;1070;;;;;;;;;134;;;;;;;;;;;22,5;18,7;27,5;8,3;5,8;12,8;1,3;2,8;;;;;;;;;0,4;;;;;;;;;;;779;38239;2,0;98,0;8322;6920;8855;3976;2480;5135;278;879;61;325;67;54;3;67;39;54;108;11;20;39;46;446;54;;;;;21,8;18,1;23,2;10,4;6,5;13,4;0,7;2,3;0,2;0,8;0,2;0,1;0,0;0,2;0,1;0,1;0,3;0,0;0,1;0,1;0,1;1,2;0,1;;;;;"Al-Wazir";"Tarek";"";"GRÜNE";91;91;2022-10-04 10:35:19;1;;"";
04400000000;"Offenbach Land I";"WK";;"";85153;70479;14674;0;57748;13564;67,8;2;1394;56354;2,4;97,6;16665;10723;12294;3045;4227;6223;446;2088;;;;;;;;;;;;;;;;;;643;;29,6;19,0;21,8;5,4;7,5;11,0;0,8;3,7;;;;;;;;;;;;;;;;;;1,1;;1228;56520;2,1;97,9;15390;9503;13319;3455;4701;6665;267;1468;59;311;119;107;11;121;36;49;75;59;26;51;52;599;77;;;;;27,2;16,8;23,6;6,1;8,3;11,8;0,5;2,6;0,1;0,6;0,2;0,2;0,0;0,2;0,1;0,1;0,1;0,1;0,0;0,1;0,1;1,1;0,1;;;;;"Honka";"Hartmut";"";"CDU";115;115;2022-10-04 10:35:19;1;;"";
04500000000;"Offenbach Land II";"WK";;"";67242;54748;12494;0;45116;11769;67,1;2;1092;44024;2,4;97,6;15032;7681;7795;2110;2475;5987;;2316;;389;;;;;;;239;;;;;;;;;;;34,1;17,4;17,7;4,8;5,6;13,6;;5,3;;0,9;;;;;;;0,5;;;;;;;;;;;995;44121;2,2;97,8;12947;7281;8806;2434;3233;6270;168;1611;50;248;99;56;3;59;41;44;148;18;27;33;50;456;39;;;;;29,3;16,5;20,0;5,5;7,3;14,2;0,4;3,7;0,1;0,6;0,2;0,1;0,0;0,1;0,1;0,1;0,3;0,0;0,1;0,1;0,1;1,0;0,1;;;;;"Tipi";"Ismail";"";"CDU";79;79;2022-10-04 10:35:19;1;;"";
04600000000;"Offenbach Land III";"WK";;"";84278;67059;17219;0;60413;16199;71,7;2;1357;59056;2,2;97,8;19090;9730;11256;2675;6051;7611;;2643;;;;;;;;;;;;;;;;;;;;32,3;16,5;19,1;4,5;10,2;12,9;;4,5;;;;;;;;;;;;;;;;;;;;1329;59084;2,2;97,8;17573;8985;11997;2966;5424;7946;270;1958;88;381;176;136;14;32;72;39;68;18;34;50;89;690;78;;;;;29,7;15,2;20,3;5,0;9,2;13,4;0,5;3,3;0,1;0,6;0,3;0,2;0,0;0,1;0,1;0,1;0,1;0,0;0,1;0,1;0,2;1,2;0,1;;;;;"Lortz";"Frank";"";"CDU";109;109;2022-10-04 10:35:19;1;;"";
04700000000;"Groß-Gerau I";"WK";;"";82267;70996;11271;0;51237;10518;62,3;2;1482;49755;2,9;97,1;13009;12261;9107;3091;2580;7285;;2422;;;;;;;;;;;;;;;;;;;;26,1;24,6;18,3;6,2;5,2;14,6;;4,9;;;;;;;;;;;;;;;;;;;;1386;49851;2,7;97,3;12259;10712;9739;3390;2879;7421;232;1494;103;263;89;101;6;161;48;27;39;54;31;49;74;620;60;;;;;24,6;21,5;19,5;6,8;5,8;14,9;0,5;3,0;0,2;0,5;0,2;0,2;0,0;0,3;0,1;0,1;0,1;0,1;0,1;0,1;0,1;1,2;0,1;;;;;"Bächle-Scholz";"Sabine";"";"CDU";111;111;2022-10-04 10:35:19;1;;"";
04800000000;"Groß-Gerau II";"WK";;"";91858;75627;16231;0;62870;15120;68,4;2;1585;61285;2,5;97,5;16437;16090;10549;3588;3545;7389;;3687;;;;;;;;;;;;;;;;;;;;26,8;26,3;17,2;5,9;5,8;12,1;;6,0;;;;;;;;;;;;;;;;;;;;1393;61477;2,2;97,8;15613;13190;12025;3840;3931;8015;261;2555;89;390;124;144;10;58;57;50;67;42;39;45;95;762;75;;;;;25,4;21,5;19,6;6,2;6,4;13,0;0,4;4,2;0,1;0,6;0,2;0,2;0,0;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,2;1,2;0,1;;;;;"Claus";"Ines";"";"CDU";111;111;2022-10-04 10:35:19;1;;"";
04900000000;"Darmstadt-Stadt I";"WK";;"";68007;54707;13300;0;47653;12446;70,1;2;901;46752;1,9;98,1;7845;11734;14612;4415;2922;3964;;;;849;411;;;;;;;;;;;;;;;;;16,8;25,1;31,3;9,4;6,3;8,5;;;;1,8;0,9;;;;;;;;;;;;;;;;;722;46931;1,5;98,5;8414;8156;14634;5550;3091;4114;404;723;33;555;278;81;7;51;56;89;38;15;28;126;42;370;76;;;;;17,9;17,4;31,2;11,8;6,6;8,8;0,9;1,5;0,1;1,2;0,6;0,2;0,0;0,1;0,1;0,2;0,1;0,0;0,1;0,3;0,1;0,8;0,2;;;;;"Förster-Heldmann";"Hildegard";"";"GRÜNE";77;77;2022-10-04 10:35:19;1;;"";
05000000000;"Darmstadt-Stadt II";"WK";;"";71854;58277;13577;0;51960;12740;72,3;2;1261;50699;2,4;97,6;12253;14334;12129;3681;3456;4846;;;;;;;;;;;;;;;;;;;;;;24,2;28,3;23,9;7,3;6,8;9,6;;;;;;;;;;;;;;;;;;;;;;921;51039;1,8;98,2;11686;9854;13541;4246;3600;5017;321;956;45;388;219;101;9;47;140;55;45;24;27;92;44;513;69;;;;;22,9;19,3;26,5;8,3;7,1;9,8;0,6;1,9;0,1;0,8;0,4;0,2;0,0;0,1;0,3;0,1;0,1;0,0;0,1;0,2;0,1;1,0;0,1;;;;;"Kaffenberger";"Bijan";"";"SPD";91;91;2022-10-04 10:35:19;1;;"";
05100000000;"Darmstadt-Dieburg I";"WK";;"";85545;69814;15731;0;59433;14641;69,5;2;1427;58006;2,4;97,6;14993;16205;11412;2936;3826;6516;;2118;;;;;;;;;;;;;;;;;;;;25,8;27,9;19,7;5,1;6,6;11,2;;3,7;;;;;;;;;;;;;;;;;;;;1272;58161;2,1;97,9;14556;12171;12677;3501;4281;7084;313;1526;87;391;151;121;7;87;162;54;46;26;33;57;80;682;68;;;;;25,0;20,9;21,8;6,0;7,4;12,2;0,5;2,6;0,1;0,7;0,3;0,2;0,0;0,1;0,3;0,1;0,1;0,0;0,1;0,1;0,1;1,2;0,1;;;;;"Hofmann";"Heike";"";"SPD";95;95;2022-10-04 10:35:19;1;;"";
05200000000;"Darmstadt-Dieburg II";"WK";;"";93564;76158;17406;0;65892;16431;70,4;2;1678;64214;2,5;97,5;19032;15073;11816;3489;4417;7597;;2790;;;;;;;;;;;;;;;;;;;;29,6;23,5;18,4;5,4;6,9;11,8;;4,3;;;;;;;;;;;;;;;;;;;;1508;64384;2,3;97,7;18080;12400;12872;3751;4620;8283;337;1886;89;383;159;134;8;48;224;59;78;30;29;64;90;676;84;;;;;28,1;19,3;20,0;5,8;7,2;12,9;0,5;2,9;0,1;0,6;0,2;0,2;0,0;0,1;0,3;0,1;0,1;0,0;0,0;0,1;0,1;1,0;0,1;;;;;"Pentz";"Manfred";"";"CDU";96;96;2022-10-04 10:35:19;1;;"";
05300000000;"Odenwald";"WK";;"";70409;56977;13432;0;46810;12637;66,5;2;1472;45338;3,1;96,9;12885;12786;6647;2480;4174;6366;;;;;;;;;;;;;;;;;;;;;;28,4;28,2;14,7;5,5;9,2;14,0;;;;;;;;;;;;;;;;;;;;;;1346;45464;2,9;97,1;12103;10299;7149;2810;3865;6588;150;1014;119;229;81;76;10;46;63;53;24;23;27;31;94;556;54;;;;;26,6;22,7;15,7;6,2;8,5;14,5;0,3;2,2;0,3;0,5;0,2;0,2;0,0;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,2;1,2;0,1;;;;;"Funken";"Sandra";"";"CDU";128;128;2022-10-04 10:35:19;1;;"";
05400000000;"Bergstraße I";"WK";;"";99147;80634;18513;0;63199;17341;63,7;2;1644;61555;2,6;97,4;20065;13364;10704;3113;5182;9127;;;;;;;;;;;;;;;;;;;;;;32,6;21,7;17,4;5,1;8,4;14,8;;;;;;;;;;;;;;;;;;;;;;1303;61896;2,1;97,9;18029;10680;12214;2876;4966;9304;232;1504;195;311;98;138;12;63;58;71;51;20;33;61;91;829;60;;;;;29,1;17,3;19,7;4,6;8,0;15,0;0,4;2,4;0,3;0,5;0,2;0,2;0,0;0,1;0,1;0,1;0,1;0,0;0,1;0,1;0,1;1,3;0,1;;;;;"Bauer";"Alexander";"";"CDU";103;103;2022-10-04 10:35:19;1;;"";
05500000000;"Bergstraße II";"WK";;"";97999;81060;16939;0;66627;15927;68,0;2;1874;64753;2,8;97,2;20460;13029;13203;3291;5631;9139;;;;;;;;;;;;;;;;;;;;;;31,6;20,1;20,4;5,1;8,7;14,1;;;;;;;;;;;;;;;;;;;;;;1459;65168;2,2;97,8;18726;11226;13345;3170;5514;8968;238;1918;131;334;153;122;4;22;130;58;50;24;39;54;99;785;58;;;;;28,7;17,2;20,5;4,9;8,5;13,8;0,4;2,9;0,2;0,5;0,2;0,2;0,0;0,0;0,2;0,1;0,1;0,0;0,1;0,1;0,2;1,2;0,1;;;;;"Heitland";"Birgit";"";"CDU";149;149;2022-10-04 10:35:19;1;;"";
00043100000;"Landkreis Bergstraße";"LK";;"";197146;161694;35452;0;129826;33268;65,9;2;3518;126308;2,7;97,3;40525;26393;23907;6404;10813;18266;;;;;;;;;;;;;;;;;;;;;;32,1;20,9;18,9;5,1;8,6;14,5;;;;;;;;;;;;;;;;;;;;;;2762;127064;2,1;97,9;36755;21906;25559;6046;10480;18272;470;3422;326;645;251;260;16;85;188;129;101;44;72;115;190;1614;118;;;;;28,9;17,2;20,1;4,8;8,2;14,4;0,4;2,7;0,3;0,5;0,2;0,2;0,0;0,1;0,1;0,1;0,1;0,0;0,1;0,1;0,1;1,3;0,1;;;;;"";"";"";"";252;252;2022-10-04 10:35:19;1;;"";
